# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y  | obj5_x  obj5_y | robot_x robot_y
    0   2.9752 -0.0003       NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8505    0.8499 -0.0003
   10   2.9792  0.0148       NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8502    0.8511  0.0086
   20   2.9825  0.0293       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8503    0.8524  0.0165
   30   2.9865  0.0439       NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8499    0.8536  0.0243
   40   2.9892  0.0581       NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8502    0.8551  0.0321
   50   2.9933  0.0731       NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    0.8573  0.0406
   60   2.9960  0.0872       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8503    0.8586  0.0482
   70   2.9993  0.1019       NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8503    0.8596  0.0561
   80   3.0030  0.1162       NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8502    0.8614  0.0648
   90   3.0060  0.1308       NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8499    0.8632  0.0728
  100   3.0093  0.1447       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8496    0.8652  0.0804
  110   3.0120  0.1596       NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8500    0.8664  0.0881
  120   3.0150  0.1733       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8499    0.8684  0.0968
  130   3.0174  0.1876       NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8505    0.8699  0.1039
  140   3.0203  0.2021       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8496    0.8720  0.1117
  150   3.0228  0.2164       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8501    0.8735  0.1201
  160   3.0262  0.2306       NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8498    0.8762  0.1279
  170   3.0286  0.2444       NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8505    0.8780  0.1361
  180   3.0311  0.2583       NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8497    0.8798  0.1439
  190   3.0336  0.2729       NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    0.8817  0.1515
  200   3.0350  0.2867       NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8499    0.8845  0.1594
  210   3.0377  0.3004       NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8504    0.8860  0.1672
  220   3.0395  0.3149       NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8500    0.8881  0.1760
  230   3.0415  0.3283       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8501    0.8910  0.1836
  240   3.0435  0.3423       NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8501    0.8929  0.1914
  250   3.0452  0.3567       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    0.8955  0.1991
  260   3.0474  0.3699       NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8504    0.8972  0.2068
  270   3.0489  0.3839       NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8496    0.9003  0.2151
  280   3.0503  0.3985       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8503    0.9026  0.2226
  290   3.0527  0.4114       NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8501    0.9046  0.2308
