# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y  | obj5_x  obj5_y | robot_x robot_y
    0   1.5303  4.2498       NaN     NaN       NaN     NaN       NaN     NaN    2.1247  0.8496    0.8496  0.0001
   10   1.5266  4.2474       NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8502    0.8534  0.0066
   20   1.5220  4.2446       NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8498    0.8571  0.0137
   30   1.5187  4.2421       NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8497    0.8598  0.0201
   40   1.5150  4.2393       NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8498    0.8636  0.0273
   50   1.5116  4.2364       NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8495    0.8669  0.0343
   60   1.5076  4.2333       NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8496    0.8707  0.0412
   70   1.5047  4.2301       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8503    0.8736  0.0472
   80   1.5011  4.2275       NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8495    0.8770  0.0548
   90   1.4975  4.2245       NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8501    0.8803  0.0609
  100   1.4944  4.2211       NaN     NaN       NaN     NaN       NaN     NaN    2.1247  0.8497    0.8842  0.0684
  110   1.4916  4.2182       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8496    0.8879  0.0749
  120   1.4882  4.2141       NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8499    0.8904  0.0816
  130   1.4854  4.2116       NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8499    0.8937  0.0888
  140   1.4823  4.2079       NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8501    0.8972  0.0955
