# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
    0      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8496    0.8497  0.0002
   10      NaN     NaN       NaN     NaN       NaN     NaN    2.1247  0.8504    0.8525  0.0101
   20      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8502    0.8548  0.0195
   30      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8499    0.8563  0.0290
   40      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8500    0.8584  0.0394
   50      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8498    0.8605  0.0487
   60      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8498    0.8635  0.0579
   70      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8500    0.8655  0.0674
   80      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    0.8682  0.0771
   90      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8496    0.8702  0.0873
  100      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8500    0.8722  0.0965
  110      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8504    0.8748  0.1060
  120      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8500    0.8771  0.1157
  130      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8499    0.8798  0.1245
  140      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8501    0.8827  0.1339
  150      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8504    0.8846  0.1439
  160      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    0.8868  0.1533
  170      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8501    0.8893  0.1620
  180      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8503    0.8924  0.1717
  190      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8505    0.8950  0.1815
  200      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    0.8978  0.1902
  210      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8499    0.9001  0.1993
  220      NaN     NaN       NaN     NaN       NaN     NaN    2.1247  0.8505    0.9027  0.2093
  230      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8503    0.9055  0.2182
  240      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8496    0.9083  0.2273
  250      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8503    0.9115  0.2368
  260      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8504    0.9139  0.2459
  270      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8503    0.9166  0.2546
  280      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8498    0.9197  0.2641
  290      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8499    0.9227  0.2726
  300      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    0.9255  0.2815
  310      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8495    0.9285  0.2905
  320      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8496    0.9306  0.2995
  330   3.4028  0.0081       NaN     NaN       NaN     NaN    2.1254  0.8503    0.9339  0.3086
  340   3.4059  0.0200       NaN     NaN       NaN     NaN    2.1247  0.8500    0.9370  0.3173
  350   3.4090  0.0309       NaN     NaN       NaN     NaN    2.1247  0.8496    0.9397  0.3265
  360   3.4123  0.0425       NaN     NaN       NaN     NaN    2.1253  0.8504    0.9430  0.3351
  370   3.4158  0.0533       NaN     NaN       NaN     NaN    2.1254  0.8502    0.9457  0.3446
  380   3.4191  0.0641       NaN     NaN       NaN     NaN    2.1251  0.8500    0.9491  0.3535
  390   3.4224  0.0751       NaN     NaN       NaN     NaN    2.1248  0.8501    0.9526  0.3621
  400   3.4258  0.0868       NaN     NaN       NaN     NaN    2.1247  0.8502    0.9552  0.3711
  410   3.4290  0.0980       NaN     NaN       NaN     NaN    2.1247  0.8505    0.9590  0.3792
  420   3.4317  0.1085       NaN     NaN       NaN     NaN    2.1251  0.8501    0.9612  0.3882
  430   3.4345  0.1194       NaN     NaN       NaN     NaN    2.1252  0.8504    0.9652  0.3970
  440   3.4374  0.1312       NaN     NaN       NaN     NaN    2.1253  0.8504    0.9681  0.4052
  450   3.4405  0.1414       NaN     NaN       NaN     NaN    2.1250  0.8504    0.9718  0.4141
  460   3.4431  0.1530       NaN     NaN       NaN     NaN    2.1245  0.8499    0.9745  0.4222
  470   3.4460  0.1636       NaN     NaN       NaN     NaN    2.1247  0.8501    0.9780  0.4310
  480   3.4485  0.1751       NaN     NaN       NaN     NaN    2.1247  0.8503    0.9812  0.4393
  490   3.4510  0.1858       NaN     NaN       NaN     NaN    2.1252  0.8496    0.9850  0.4486
  500   3.4540  0.1963       NaN     NaN       NaN     NaN    2.1247  0.8503    0.9881  0.4565
  510   3.4563  0.2073       NaN     NaN       NaN     NaN    2.1248  0.8496    0.9918  0.4653
  520   3.4592  0.2182       NaN     NaN       NaN     NaN    2.1254  0.8504    0.9945  0.4734
  530   3.4614  0.2289       NaN     NaN       NaN     NaN    2.1254  0.8502    0.9984  0.4820
  540   3.4632  0.2401       NaN     NaN       NaN     NaN    2.1248  0.8501    1.0022  0.4907
  550   3.4658  0.2506       NaN     NaN       NaN     NaN    2.1251  0.8500    1.0053  0.4994
  560   3.4678  0.2614       NaN     NaN       NaN     NaN    2.1248  0.8501    1.0089  0.5077
  570   3.4700  0.2719       NaN     NaN       NaN     NaN    2.1251  0.8497    1.0127  0.5155
  580   3.4720  0.2834       NaN     NaN       NaN     NaN    2.1251  0.8501    1.0159  0.5245
  590   3.4747  0.2938       NaN     NaN       NaN     NaN    2.1252  0.8497    1.0201  0.5328
  600   3.4769  0.3048       NaN     NaN       NaN     NaN    2.1250  0.8500    1.0229  0.5405
  610   3.4788  0.3151       NaN     NaN       NaN     NaN    2.1248  0.8498    1.0269  0.5488
  620   3.4804  0.3254       NaN     NaN       NaN     NaN    2.1255  0.8498    1.0305  0.5575
  630   3.4818  0.3363       NaN     NaN       NaN     NaN    2.1254  0.8496    1.0344  0.5657
  640   3.4841  0.3465       NaN     NaN       NaN     NaN    2.1248  0.8497    1.0386  0.5733
  650   3.4856  0.3570       NaN     NaN       NaN     NaN    2.1254  0.8504    1.0417  0.5813
  660   3.4877  0.3683       NaN     NaN       NaN     NaN    2.1251  0.8500    1.0462  0.5893
  670   3.4888  0.3786       NaN     NaN       NaN     NaN    2.1249  0.8504    1.0493  0.5980
