# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
 2740   2.4638  2.5778   -0.1951  2.2024       NaN     NaN    2.1248  0.8497    2.0594  1.8407
 2750   2.4559  2.5891   -0.1830  2.2021       NaN     NaN    2.1254  0.8503    2.0685  1.8438
 2760   2.4488  2.6002   -0.1708  2.2027       NaN     NaN    2.1251  0.8496    2.0775  1.8474
 2770   2.4410  2.6118   -0.1585  2.2031       NaN     NaN    2.1250  0.8504    2.0870  1.8503
 2780   2.4332  2.6239   -0.1463  2.2033       NaN     NaN    2.1252  0.8503    2.0967  1.8544
 2790   2.4257  2.6355   -0.1343  2.2037       NaN     NaN    2.1252  0.8499    2.1058  1.8579
 2800   2.4177  2.6461   -0.1220  2.2046       NaN     NaN    2.1246  0.8499    2.1152  1.8611
 2810   2.4100  2.6580   -0.1099  2.2048       NaN     NaN    2.1250  0.8500    2.1252  1.8650
 2820   2.4027  2.6689   -0.0975  2.2051       NaN     NaN    2.1250  0.8499    2.1340  1.8686
 2830   2.3948  2.6803   -0.0856  2.2056       NaN     NaN    2.1250  0.8504    2.1433  1.8726
 2840   2.3874  2.6919   -0.0738  2.2060       NaN     NaN    2.1245  0.8498    2.1530  1.8764
 2850   2.3790  2.7036   -0.0617  2.2064       NaN     NaN    2.1245  0.8497    2.1615  1.8804
 2860   2.3714  2.7141   -0.0505  2.2071       NaN     NaN    2.1247  0.8501    2.1714  1.8842
 2870   2.3632  2.7256   -0.0391  2.2083       NaN     NaN    2.1247  0.8499    2.1804  1.8891
 2880   2.3562  2.7368   -0.0271  2.2090       NaN     NaN    2.1247  0.8496    2.1897  1.8928
 2890   2.3480  2.7474   -0.0150  2.2091       NaN     NaN    2.1254  0.8498    2.1986  1.8974
 2900   2.3404  2.7586   -0.0041  2.2094       NaN     NaN    2.1246  0.8497    2.2071  1.9024
 2910   2.3319  2.7704    0.0081  2.2107       NaN     NaN    2.1247  0.8498    2.2165  1.9069
 2920   2.3243  2.7807    0.0193  2.2109       NaN     NaN    2.1253  0.8501    2.2256  1.9115
 2930   2.3161  2.7922    0.0305  2.2118       NaN     NaN    2.1252  0.8497    2.2340  1.9171
 2940   2.3082  2.8025    0.0426  2.2124       NaN     NaN    2.1254  0.8496    2.2431  1.9222
 2950   2.3002  2.8137    0.0540  2.2137       NaN     NaN    2.1253  0.8496    2.2514  1.9274
 2960   2.2918  2.8245    0.0648  2.2142       NaN     NaN    2.1248  0.8505    2.2606  1.9324
 2970   2.2837  2.8355    0.0766  2.2151       NaN     NaN    2.1251  0.8499    2.2692  1.9380
 2980   2.2751  2.8462    0.0871  2.2155       NaN     NaN    2.1246  0.8503    2.2775  1.9429
 2990   2.2671  2.8566    0.0990  2.2161       NaN     NaN    2.1252  0.8502    2.2862  1.9488
 3000   2.2587  2.8671    0.1098  2.2179       NaN     NaN    2.1255  0.8495    2.2946  1.9552
 3010   2.2495  2.8770    0.1216  2.2180       NaN     NaN    2.1248  0.8497    2.3030  1.9614
 3020   2.2417  2.8883    0.1319  2.2195       NaN     NaN    2.1254  0.8498    2.3124  1.9669
 3030   2.2326  2.8987    0.1432  2.2203       NaN     NaN    2.1252  0.8497    2.3209  1.9735
 3040   2.2240  2.9084    0.1542  2.2207       NaN     NaN    2.1250  0.8503    2.3293  1.9793
 3050   2.2157  2.9193    0.1656  2.2221       NaN     NaN    2.1246  0.8503    2.3374  1.9856
 3060   2.2073  2.9292    0.1764  2.2231       NaN     NaN    2.1245  0.8497    2.3457  1.9925
 3070   2.1987  2.9395    0.1878  2.2239       NaN     NaN    2.1246  0.8501    2.3550  1.9988
 3080   2.1890  2.9499    0.1985  2.2250       NaN     NaN    2.1250  0.8495    2.3633  2.0057
 3090   2.1811  2.9599    0.2095  2.2259       NaN     NaN    2.1249  0.8497    2.3717  2.0123
 3100   2.1721  2.9695    0.2205  2.2273       NaN     NaN    2.1245  0.8497    2.3799  2.0190
 3110   2.1624  2.9800    0.2315  2.2283       NaN     NaN    2.1245  0.8500    2.3885  2.0262
 3120   2.1541  2.9899    0.2428  2.2289       NaN     NaN    2.1252  0.8505    2.3970  2.0331
 3130   2.1449  2.9992    0.2536  2.2304       NaN     NaN    2.1249  0.8499    2.4052  2.0400
 3140   2.1357  3.0099    0.2649  2.2311       NaN     NaN    2.1254  0.8498    2.4141  2.0476
 3150   2.1268  3.0195    0.2753  2.2330       NaN     NaN    2.1250  0.8497    2.4225  2.0551
 3160   2.1172  3.0295    0.2860  2.2336       NaN     NaN    2.1248  0.8504    2.4308  2.0622
 3170   2.1084  3.0391    0.2967  2.2352       NaN     NaN    2.1247  0.8501    2.4396  2.0691
 3180   2.0997  3.0489    0.3080  2.2360       NaN     NaN    2.1250  0.8500    2.4485  2.0773
 3190   2.0896  3.0586    0.3181  2.2373       NaN     NaN    2.1246  0.8500    2.4565  2.0849
 3200   2.0802  3.0675    0.3294  2.2382       NaN     NaN    2.1246  0.8503    2.4654  2.0925
 3210   2.0715  3.0773    0.3397  2.2396       NaN     NaN    2.1251  0.8501    2.4737  2.1002
 3220   2.0619  3.0873    0.3503  2.2406       NaN     NaN    2.1253  0.8499    2.4819  2.1079
 3230   2.0524  3.0966    0.3615  2.2416       NaN     NaN    2.1253  0.8496    2.4905  2.1162
 3240   2.0436  3.1056    0.3719  2.2435       NaN     NaN    2.1251  0.8498    2.4990  2.1236
 3250   2.0335  3.1157    0.3822  2.2450       NaN     NaN    2.1249  0.8501    2.5072  2.1312
 3260   2.0240  3.1250    0.3931  2.2456       NaN     NaN    2.1247  0.8501    2.5164  2.1395
 3270   2.0145  3.1340    0.4037  2.2472       NaN     NaN    2.1253  0.8497    2.5249  2.1479
 3280   2.0051  3.1437    0.4141  2.2481       NaN     NaN    2.1250  0.8501    2.5327  2.1559
 3290   1.9959  3.1528    0.4245  2.2495       NaN     NaN    2.1255  0.8501    2.5418  2.1644
 3300   1.9857  3.1619    0.4352  2.2506       NaN     NaN    2.1251  0.8496    2.5498  2.1729
 3310   1.9758  3.1708    0.4459  2.2519       NaN     NaN    2.1253  0.8501    2.5589  2.1807
 3320   1.9664  3.1799    0.4563  2.2540       NaN     NaN    2.1245  0.8505    2.5666  2.1895
 3330   1.9565  3.1894    0.4668  2.2548       NaN     NaN    2.1249  0.8497    2.5751  2.1981
 3340   1.9470  3.1985    0.4776  2.2568       NaN     NaN    2.1250  0.8501    2.5842  2.2065
 3350   1.9369  3.2080    0.4878  2.2582       NaN     NaN    2.1253  0.8496    2.5928  2.2145
 3360   1.9274  3.2163    0.4981  2.2588       NaN     NaN    2.1254  0.8503    2.6012  2.2236
 3370   1.9178  3.2256    0.5084  2.2605       NaN     NaN    2.1248  0.8498    2.6093  2.2320
 3380   1.9080  3.2346    0.5193  2.2621       NaN     NaN    2.1252  0.8503    2.6182  2.2409
 3390   1.8982  3.2434    0.5292  2.2628       NaN     NaN    2.1247  0.8500    2.6265  2.2496
 3400   1.8876  3.2523    0.5401  2.2650       NaN     NaN    2.1253  0.8503    2.6354  2.2579
 3410   1.8776  3.2607    0.5498  2.2657       NaN     NaN    2.1246  0.8499    2.6437  2.2670
 3420   1.8682  3.2695    0.5607  2.2680       NaN     NaN    2.1255  0.8503    2.6519  2.2760
 3430   1.8578  3.2787    0.5705  2.2685       NaN     NaN    2.1246  0.8496    2.6601  2.2851
 3440   1.8482  3.2871    0.5809  2.2707       NaN     NaN    2.1251  0.8496    2.6691  2.2936
 3450   1.8379  3.2959    0.5915  2.2715       NaN     NaN    2.1249  0.8497    2.6771  2.3027
 3460   1.8274  3.3043    0.6021  2.2734       NaN     NaN    2.1255  0.8500    2.6863  2.3123
 3470   1.8180  3.3136    0.6122  2.2744       NaN     NaN    2.1248  0.8503    2.6946  2.3209
 3480   1.8079  3.3218    0.6219  2.2762       NaN     NaN    2.1250  0.8502    2.7027  2.3299
 3490   1.7971  3.3300    0.6331  2.2775       NaN     NaN    2.1254  0.8497    2.7114  2.3388
 3500   1.7874  3.3391    0.6425  2.2786       NaN     NaN    2.1251  0.8498    2.7199  2.3484
 3510   1.7775  3.3476    0.6536  2.2808       NaN     NaN    2.1248  0.8500    2.7286  2.3568
 3520   1.7667  3.3558    0.6637  2.2819       NaN     NaN    2.1250  0.8504    2.7375  2.3666
 3530   1.7567  3.3642    0.6741  2.2832       NaN     NaN    2.1255  0.8502    2.7454  2.3752
 3540   1.7470  3.3725    0.6839  2.2851       NaN     NaN    2.1246  0.8500    2.7541  2.3845
 3550   1.7363  3.3813    0.6941  2.2868       NaN     NaN    2.1247  0.8500    2.7626  2.3942
 3560   1.7260  3.3894    0.7041  2.2878       NaN     NaN    2.1254  0.8496    2.7712  2.4031
 3570   1.7162  3.3980    0.7144  2.2894       NaN     NaN    2.1252  0.8502    2.7791  2.4123
 3580   1.7052  3.4059    0.7248  2.2910       NaN     NaN    2.1248  0.8499    2.7876  2.4214
 3590   1.6958  3.4145    0.7356  2.2927       NaN     NaN    2.1252  0.8502    2.7960  2.4315
 3600   1.6850  3.4225    0.7456  2.2938       NaN     NaN    2.1252  0.8495    2.8050  2.4407
 3610   1.6746  3.4310    0.7555  2.2952       NaN     NaN    2.1248  0.8495    2.8131  2.4497
 3620   1.6646  3.4395    0.7656  2.2967       NaN     NaN    2.1247  0.8501    2.8215  2.4597
 3630   1.6545  3.4479    0.7756  2.2984       NaN     NaN    2.1248  0.8500    2.8309  2.4684
 3640   1.6441  3.4559    0.7864  2.3001       NaN     NaN    2.1251  0.8503    2.8393  2.4783
 3650   1.6334  3.4642    0.7969  2.3014       NaN     NaN    2.1252  0.8499    2.8475  2.4873
 3660   1.6229  3.4722    0.8063  2.3025       NaN     NaN    2.1250  0.8497    2.8563  2.4966
 3670   1.6126  3.4798    0.8169  2.3040       NaN     NaN    2.1250  0.8502    2.8642  2.5062
 3680   1.6023  3.4880    0.8269  2.3053       NaN     NaN    2.1250  0.8502    2.8735  2.5157
 3690   1.5923  3.4967    0.8377  2.3067       NaN     NaN    2.1247  0.8498    2.8819  2.5247
 3700   1.5819  3.5042    0.8476  2.3089       NaN     NaN    2.1245  0.8504    2.8896  2.5340
 3710   1.5709  3.5119    0.8577  2.3098       NaN     NaN    2.1245  0.8504    2.8989  2.5429
 3720   1.5608  3.5206    0.8680  2.3118       NaN     NaN    2.1250  0.8503    2.9071  2.5528
 3730   1.5501  3.5278    0.8785  2.3136       NaN     NaN    2.1245  0.8499    2.9154  2.5620
 3740   1.5397  3.5365    0.8880  2.3142       NaN     NaN    2.1255  0.8502    2.9243  2.5716
 3750   1.5297  3.5436    0.8988  2.3158       NaN     NaN    2.1251  0.8500    2.9329  2.5804
 3760   1.5186  3.5521    0.9090  2.3174       NaN     NaN    2.1252  0.8501    2.9405  2.5900
 3770   1.5086  3.5602    0.9188  2.3194       NaN     NaN    2.1253  0.8501    2.9492  2.5988
 3780   1.4979  3.5681    0.9290  2.3207       NaN     NaN    2.1249  0.8500    2.9584  2.6079
 3790   1.4879  3.5753    0.9400  2.3214       NaN     NaN    2.1249  0.8499    2.9668  2.6176
 3800   1.4774  3.5833    0.9494  2.3230       NaN     NaN    2.1249  0.8495    2.9752  2.6264
 3810   1.4666  3.5909    0.9597  2.3242       NaN     NaN    2.1247  0.8497    2.9833  2.6356
 3820   1.4564  3.5993    0.9703  2.3258       NaN     NaN    2.1248  0.8499    2.9920  2.6448
 3830   1.4457  3.6070    0.9803  2.3272       NaN     NaN    2.1255  0.8496    3.0008  2.6548
 3840   1.4358  3.6145    0.9913  2.3288       NaN     NaN    2.1246  0.8496    3.0086  2.6634
 3850   1.4257  3.6227    1.0010  2.3303       NaN     NaN    2.1251  0.8498    3.0172  2.6729
 3860   1.4147  3.6304    1.0112  2.3314       NaN     NaN    2.1247  0.8496    3.0263  2.6815
 3870   1.4040  3.6374    1.0214  2.3330       NaN     NaN    2.1247  0.8498    3.0343  2.6905
 3880   1.3941  3.6459    1.0317  2.3342       NaN     NaN    2.1248  0.8503    3.0428  2.6996
 3890   1.3832  3.6529    1.0421  2.3354       NaN     NaN    2.1249  0.8498    3.0516  2.7091
 3900   1.3730  3.6604    1.0523  2.3373       NaN     NaN    2.1254  0.8495    3.0600  2.7172
 3910   1.3633  3.6685    1.0626  2.3389       NaN     NaN    2.1253  0.8500    3.0681  2.7269
 3920   1.3523  3.6759    1.0737  2.3401       NaN     NaN    2.1248  0.8499    3.0770  2.7357
 3930   1.3427  3.6838    1.0838  2.3410       NaN     NaN    2.1246  0.8500    3.0856  2.7444
 3940   1.3318  3.6913    1.0935  2.3428       NaN     NaN    2.1245  0.8497    3.0943  2.7527
 3950   1.3215  3.6994    1.1045  2.3444       NaN     NaN    2.1252  0.8504    3.1020  2.7614
 3960   1.3115  3.7069    1.1146  2.3453       NaN     NaN    2.1252  0.8504    3.1115  2.7707
 3970   1.3006  3.7145    1.1246  2.3462       NaN     NaN    2.1254  0.8501    3.1195  2.7797
 3980   1.2902  3.7214    1.1350  2.3474       NaN     NaN    2.1246  0.8503    3.1276  2.7878
 3990   1.2802  3.7290    1.1456  2.3487       NaN     NaN    2.1245  0.8503    3.1368  2.7966
 4000   1.2699  3.7370    1.1560  2.3499       NaN     NaN    2.1246  0.8500    3.1454  2.8046
 4010   1.2596  3.7446    1.1666  2.3516       NaN     NaN    2.1247  0.8503    3.1539  2.8137
 4020   1.2497  3.7525    1.1772  2.3526       NaN     NaN    2.1251  0.8505    3.1626  2.8225
 4030   1.2391  3.7594    1.1877  2.3537       NaN     NaN    2.1252  0.8501    3.1715  2.8313
 4040   1.2292  3.7672    1.1977  2.3555       NaN     NaN    2.1249  0.8501    3.1803  2.8398
 4050   1.2192  3.7750    1.2088  2.3568       NaN     NaN    2.1251  0.8495    3.1891  2.8495
 4060   1.2082  3.7822    1.2196  2.3572       NaN     NaN    2.1250  0.8497    3.1988  2.8582
 4070   1.1985  3.7901    1.2297  2.3585       NaN     NaN    2.1246  0.8505    3.2079  2.8679
 4080   1.1881  3.7974    1.2406  2.3598       NaN     NaN    2.1246  0.8503    3.2167  2.8768
 4090   1.1785  3.8043    1.2513  2.3614       NaN     NaN    2.1250  0.8501    3.2263  2.8865
 4100   1.1684  3.8125    1.2616  2.3622       NaN     NaN    2.1250  0.8500    3.2363  2.8957
 4110   1.1580  3.8200    1.2723  2.3631       NaN     NaN    2.1251  0.8498    3.2456  2.9062
 4120   1.1482  3.8271    1.2825  2.3639       NaN     NaN    2.1252  0.8503    3.2555  2.9157
 4130   1.1373  3.8349    1.2932  2.3651       NaN     NaN    2.1246  0.8496    3.2652  2.9257
 4140   1.1279  3.8425    1.3043  2.3669       NaN     NaN    2.1250  0.8505    3.2751  2.9353
 4150   1.1173  3.8498    1.3149  2.3679       NaN     NaN    2.1252  0.8502    3.2854  2.9451
 4160   1.1072  3.8574    1.3254  2.3690       NaN     NaN    2.1252  0.8495    3.2957  2.9554
 4170   1.0975  3.8645    1.3361  2.3693       NaN     NaN    2.1251  0.8501    3.3057  2.9662
 4180   1.0878  3.8722    1.3471  2.3710       NaN     NaN    2.1250  0.8498    3.3161  2.9764
 4190   1.0777  3.8798    1.3576  2.3717       NaN     NaN    2.1250  0.8499    3.3267  2.9865
 4200   1.0683  3.8865    1.3686  2.3720       NaN     NaN    2.1248  0.8499    3.3366  2.9971
 4210   1.0581  3.8946    1.3798  2.3732       NaN     NaN    2.1250  0.8497    3.3476  3.0075
 4220   1.0483  3.9021    1.3900  2.3740       NaN     NaN    2.1245  0.8496    3.3582  3.0174
 4230   1.0387  3.9093    1.4010  2.3749       NaN     NaN    2.1248  0.8496    3.3685  3.0286
 4240   1.0283  3.9171    1.4120  2.3755       NaN     NaN    2.1250  0.8498    3.3784  3.0385
 4250   1.0187  3.9238    1.4233  2.3770       NaN     NaN    2.1246  0.8500    3.3899  3.0498
 4260   1.0091  3.9312    1.4337  2.3778       NaN     NaN    2.1251  0.8495    3.3999  3.0599
 4270   0.9992  3.9396    1.4444  2.3785       NaN     NaN    2.1247  0.8497    3.4105  3.0706
 4280   0.9898  3.9464    1.4555  2.3791       NaN     NaN    2.1252  0.8499    3.4214  3.0810
 4290   0.9800  3.9541    1.4665  2.3800       NaN     NaN    2.1254  0.8499    3.4318  3.0917
 4300   0.9704  3.9620    1.4781  2.3808       NaN     NaN    2.1252  0.8498    3.4424  3.1026
 4310   0.9614  3.9695    1.4891  2.3816       NaN     NaN    2.1247  0.8499    3.4539  3.1136
 4320   0.9512  3.9767    1.5005  2.3820       NaN     NaN    2.1245  0.8501    3.4639  3.1247
 4330   0.9420  3.9839    1.5112  2.3825       NaN     NaN    2.1252  0.8505    3.4747  3.1356
 4340   0.9328  3.9919    1.5219  2.3838       NaN     NaN    2.1249  0.8498    3.4863  3.1460
 4350   0.9227  3.9990    1.5340  2.3840       NaN     NaN    2.1249  0.8499    3.4969  3.1568
 4360   0.9136  4.0068    1.5452  2.3845       NaN     NaN    2.1248  0.8499    3.5078  3.1674
 4370   0.9038  4.0143    1.5556  2.3857       NaN     NaN    2.1252  0.8503    3.5181  3.1786
 4380   0.8949  4.0219    1.5673  2.3859       NaN     NaN    2.1246  0.8503    3.5294  3.1889
 4390   0.8859  4.0289    1.5785  2.3862       NaN     NaN    2.1250  0.8504    3.5400  3.1998
 4400   0.8767  4.0366    1.5897  2.3872       NaN     NaN    2.1251  0.8502    3.5498  3.2099
 4410   0.8670  4.0441    1.6012  2.3870       NaN     NaN    2.1254  0.8500    3.5606  3.2211
 4420   0.8575  4.0514    1.6129  2.3877       NaN     NaN    2.1248  0.8500    3.5717  3.2311
 4430   0.8493  4.0591    1.6242  2.3881       NaN     NaN    2.1247  0.8499    3.5825  3.2426
 4440   0.8401  4.0671    1.6358  2.3891       NaN     NaN    2.1247  0.8497    3.5928  3.2522
 4450   0.8307  4.0748    1.6469  2.3893       NaN     NaN    2.1247  0.8503    3.6032  3.2629
 4460   0.8218  4.0820    1.6591  2.3896       NaN     NaN    2.1250  0.8503    3.6135  3.2733
 4470   0.8126  4.0892    1.6702  2.3902       NaN     NaN    2.1254  0.8504    3.6240  3.2842
 4480   0.8037  4.0975    1.6814  2.3902       NaN     NaN    2.1252  0.8502    3.6343  3.2945
 4490   0.7952  4.1043    1.6936  2.3907       NaN     NaN    2.1251  0.8496    3.6448  3.3051
 4500   0.7864  4.1127    1.7054  2.3910       NaN     NaN    2.1247  0.8497    3.6546  3.3148
 4510   0.7774  4.1195    1.7165  2.3908       NaN     NaN    2.1253  0.8497    3.6654  3.3255
 4520   0.7687  4.1273    1.7284  2.3914       NaN     NaN    2.1249  0.8502    3.6754  3.3357
 4530   0.7595  4.1350    1.7401  2.3911       NaN     NaN    2.1245  0.8496    3.6855  3.3458
 4540   0.7507  4.1428    1.7520  2.3917       NaN     NaN    2.1252  0.8495    3.6956  3.3549
 4550   0.7426  4.1505    1.7643  2.3913       NaN     NaN    2.1247  0.8503    3.7049  3.3649
 4560   0.7345  4.1585    1.7757  2.3911       NaN     NaN    2.1246  0.8500    3.7144  3.3752
 4570   0.7258  4.1657    1.7884  2.3916       NaN     NaN    2.1249  0.8498    3.7249  3.3841
 4580   0.7169  4.1737    1.7996  2.3911       NaN     NaN    2.1249  0.8501    3.7345  3.3944
 4590   0.7091  4.1817    1.8117  2.3921       NaN     NaN    2.1249  0.8496    3.7434  3.4036
 4600   0.7002  4.1890    1.8244  2.3919       NaN     NaN    2.1253  0.8498    3.7526  3.4126
 4610   0.6916  4.1975    1.8363  2.3916       NaN     NaN    2.1247  0.8499    3.7625  3.4223
 4620   0.6839  4.2047    1.8486  2.3912       NaN     NaN    2.1253  0.8502    3.7710  3.4315
 4630   0.6754  4.2125    1.8608  2.3908       NaN     NaN    2.1249  0.8495    3.7808  3.4399
 4640   0.6677  4.2206    1.8728  2.3906       NaN     NaN    2.1246  0.8505    3.7897  3.4489
 4650   0.6589  4.2281    1.8848  2.3904       NaN     NaN    2.1253  0.8499    3.7977  3.4584
 4660   0.6513  4.2365    1.8970  2.3901       NaN     NaN    2.1246  0.8505    3.8062  3.4662
 4670   0.6437  4.2444    1.9095  2.3901       NaN     NaN    2.1247  0.8502    3.8154  3.4757
 4680   0.6353  4.2517    1.9225  2.3900       NaN     NaN    2.1254  0.8498    3.8233  3.4834
 4690   0.6280  4.2599    1.9348  2.3896       NaN     NaN    2.1249  0.8497    3.8322  3.4916
 4700   0.6205  4.2674    1.9467  2.3895       NaN     NaN    2.1251  0.8495    3.8401  3.5004
 4710   0.6128  4.2756    1.9596  2.3885       NaN     NaN    2.1246  0.8498    3.8477  3.5077
 4720   0.6048  4.2836    1.9721  2.3884       NaN     NaN    2.1252  0.8503    3.8557  3.5154
 4730   0.5977  4.2909    1.9846  2.3875       NaN     NaN    2.1249  0.8495    3.8630  3.5232
 4740   0.5911  4.2991    1.9976  2.3873       NaN     NaN    2.1253  0.8502    3.8707  3.5312
 4750   0.5839  4.3068    2.0099  2.3864       NaN     NaN    2.1246  0.8504    3.8781  3.5382
 4760   0.5773  4.3141    2.0224  2.3857       NaN     NaN    2.1252  0.8502    3.8853  3.5451
 4770   0.5707  4.3215    2.0357  2.3850       NaN     NaN    2.1255  0.8503    3.8918  3.5525
 4780   0.5642  4.3289    2.0481  2.3844       NaN     NaN    2.1246  0.8499    3.8992  3.5590
 4790   0.5575  4.3359    2.0615  2.3841       NaN     NaN    2.1246  0.8497    3.9057  3.5659
 4800   0.5517  4.3441    2.0739  2.3836       NaN     NaN    2.1247  0.8497    3.9119  3.5725
 4810   0.5456  4.3514    2.0878  2.3823       NaN     NaN    2.1253  0.8502    3.9187  3.5781
 4820   0.5392  4.3582    2.1008  2.3817       NaN     NaN    2.1250  0.8497    3.9248  3.5845
 4830   0.5334  4.3656    2.1140  2.3808       NaN     NaN    2.1251  0.8503    3.9306  3.5904
 4840   0.5276  4.3732    2.1264  2.3798       NaN     NaN    2.1254  0.8498    3.9359  3.5962
 4850   0.5226  4.3801    2.1402  2.3786       NaN     NaN    2.1251  0.8501    3.9415  3.6008
 4860   0.5173  4.3871    2.1529  2.3775       NaN     NaN    2.1252  0.8503    3.9468  3.6068
 4870   0.5116  4.3947    2.1667  2.3766       NaN     NaN    2.1248  0.8499    3.9512  3.6115
 4880   0.5069  4.4018    2.1806  2.3755       NaN     NaN    2.1253  0.8501    3.9565  3.6163
 4890   0.5022  4.4089    2.1941  2.3736       NaN     NaN    2.1248  0.8504    3.9606  3.6211
 4900   0.4974  4.4156    2.2082  2.3721       NaN     NaN    2.1249  0.8501    3.9648  3.6249
 4910   0.4919  4.4224    2.2216  2.3706       NaN     NaN    2.1251  0.8495    3.9693  3.6288
 4920   0.4877  4.4302    2.2363  2.3689       NaN     NaN    2.1249  0.8503    3.9730  3.6331
 4930   0.4839  4.4364    2.2498  2.3672       NaN     NaN    2.1255  0.8496    3.9767  3.6369
 4940   0.4794  4.4432    2.2648  2.3657       NaN     NaN    2.1249  0.8503    3.9803  3.6399
 4950   0.4747  4.4505    2.2788  2.3636       NaN     NaN    2.1254  0.8503    3.9830  3.6432
 4960   0.4715  4.4576    2.2929  2.3616       NaN     NaN    2.1255  0.8499    3.9864  3.6458
 4970   0.4672  4.4640    2.3081  2.3594       NaN     NaN    2.1250  0.8504    3.9890  3.6489
 4980   0.4634  4.4703    2.3219  2.3577       NaN     NaN    2.1251  0.8495    3.9906  3.6508
 4990   0.4606  4.4774    2.3365  2.3548       NaN     NaN    2.1247  0.8503    3.9937  3.6532
 5000   0.4571  4.4841    2.3520  2.3524       NaN     NaN    2.1246  0.8497    3.9946  3.6554
 5010   0.4539  4.4900    2.3668  2.3506       NaN     NaN    2.1253  0.8501    3.9972  3.6563
 5020   0.4507  4.4969    2.3818  2.3481       NaN     NaN    2.1245  0.8498    3.9980  3.6586
 5030   0.4474  4.5033    2.3970  2.3449       NaN     NaN    2.1246  0.8496    4.0001  3.6599
 5040   0.4452  4.5093    2.4121  2.3426       NaN     NaN    2.1251  0.8503    4.0015  3.6616
 5050   0.4418  4.5159    2.4271  2.3398       NaN     NaN    2.1251  0.8499    4.0032  3.6634
 5060   0.4402  4.5228    2.4431  2.3375       NaN     NaN    2.1247  0.8496    4.0056  3.6648
 5070   0.4373  4.5289    2.4581  2.3343       NaN     NaN    2.1248  0.8499    4.0071  3.6665
 5080   0.4354  4.5350    2.4742  2.3310       NaN     NaN    2.1254  0.8496    4.0085  3.6689
 5090   0.4331  4.5414    2.4899  2.3282       NaN     NaN    2.1246  0.8497    4.0104  3.6705
 5100   0.4306  4.5481    2.5055  2.3248       NaN     NaN    2.1248  0.8503    4.0114  3.6722
 5110   0.4298  4.5534    2.5212  2.3223       NaN     NaN    2.1245  0.8499    4.0137  3.6735
 5120   0.4280  4.5603    2.5374  2.3192       NaN     NaN    2.1249  0.8498    4.0153  3.6751
 5130   0.4258  4.5657    2.5523  2.3153       NaN     NaN    2.1252  0.8499    4.0164  3.6764
 5140   0.4244  4.5723    2.5690  2.3125       NaN     NaN    2.1254  0.8497    4.0180  3.6786
 5150   0.4234  4.5783    2.5852  2.3086       NaN     NaN    2.1251  0.8499    4.0200  3.6795
 5160   0.4220  4.5839    2.6009  2.3050       NaN     NaN    2.1249  0.8495    4.0217  3.6814
 5170   0.4219  4.5895    2.6169  2.3015       NaN     NaN    2.1249  0.8496    4.0230  3.6836
 5180   0.4211  4.5961    2.6337  2.2982       NaN     NaN    2.1253  0.8495    4.0249  3.6849
 5190   0.4202  4.6012    2.6503  2.2948       NaN     NaN    2.1252  0.8498    4.0260  3.6864
 5200   0.4196  4.6072    2.6662  2.2906       NaN     NaN    2.1247  0.8498    4.0283  3.6880
 5210   0.4188  4.6136    2.6829  2.2876       NaN     NaN    2.1254  0.8500    4.0290  3.6900
 5220   0.4190  4.6184    2.6990  2.2838       NaN     NaN    2.1246  0.8497    4.0316  3.6912
 5230   0.4187  4.6246    2.7160  2.2798       NaN     NaN    2.1250  0.8497    4.0328  3.6924
 5240   0.4187  4.6301    2.7321  2.2757       NaN     NaN    2.1246  0.8503    4.0338  3.6940
 5250   0.4194  4.6361    2.7494  2.2716       NaN     NaN    2.1249  0.8505    4.0353  3.6954
 5260   0.4200  4.6415    2.7662  2.2679       NaN     NaN    2.1253  0.8499    4.0376  3.6969
 5270   0.4200  4.6472    2.7825  2.2640       NaN     NaN    2.1248  0.8501    4.0391  3.6990
 5280   0.4206  4.6525    2.8001  2.2599       NaN     NaN    2.1248  0.8497    4.0402  3.7004
 5290   0.4216  4.6574    2.8169  2.2556       NaN     NaN    2.1247  0.8504    4.0416  3.7022
 5300   0.4222  4.6627    2.8339  2.2516       NaN     NaN    2.1250  0.8498    4.0433  3.7032
 5310   0.4232  4.6680    2.8502  2.2476       NaN     NaN    2.1249  0.8502    4.0452  3.7055
 5320   0.4244  4.6741    2.8673  2.2436       NaN     NaN    2.1248  0.8496    4.0468  3.7062
 5330   0.4255  4.6790    2.8849  2.2390       NaN     NaN    2.1249  0.8499    4.0481  3.7079
 5340   0.4280  4.6841    2.9023  2.2351       NaN     NaN    2.1250  0.8495    4.0492  3.7093
 5350   0.4296  4.6895    2.9191  2.2306       NaN     NaN    2.1250  0.8495    4.0507  3.7111
 5360      NaN     NaN    2.9364  2.2260       NaN     NaN    2.1248  0.8499    4.0523  3.7127
 5370      NaN     NaN    2.9534  2.2213       NaN     NaN    2.1246  0.8503    4.0540  3.7144
 5380      NaN     NaN    2.9704  2.2174       NaN     NaN    2.1248  0.8496    4.0554  3.7161
 5390      NaN     NaN    2.9883  2.2131       NaN     NaN    2.1254  0.8505    4.0568  3.7176
