# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
  650      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8503    1.0811  0.5626
  660      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8503    1.0840  0.5700
  670      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8502    1.0875  0.5790
  680      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8496    1.0907  0.5869
  690      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8505    1.0939  0.5958
  700      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8497    1.0974  0.6044
  710      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8499    1.1004  0.6125
  720      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8501    1.1032  0.6207
  730      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8500    1.1067  0.6289
  740      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8502    1.1099  0.6372
  750      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8504    1.1133  0.6452
  760      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8501    1.1163  0.6536
  770      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8500    1.1190  0.6615
  780      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8499    1.1220  0.6701
  790      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8502    1.1257  0.6789
  800      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8503    1.1288  0.6864
  810      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8501    1.1314  0.6953
  820      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8502    1.1355  0.7036
  830      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8498    1.1377  0.7113
  840      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8498    1.1414  0.7193
  850      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8496    1.1447  0.7279
  860      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8497    1.1478  0.7361
  870      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8498    1.1505  0.7447
  880      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8501    1.1533  0.7529
  890      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8496    1.1563  0.7604
  900      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8498    1.1601  0.7687
  910      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8504    1.1630  0.7766
  920      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8500    1.1659  0.7849
  930      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8501    1.1686  0.7929
  940      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8501    1.1721  0.8017
  950      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8502    1.1752  0.8094
  960      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8500    1.1782  0.8180
  970      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8501    1.1815  0.8253
  980      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8498    1.1835  0.8338
  990      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    1.1873  0.8422
 1000      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8496    1.1897  0.8499
 1010      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8495    1.1933  0.8578
 1020      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8499    1.1961  0.8666
 1030      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8501    1.1983  0.8743
 1040      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8504    1.2016  0.8825
 1050      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8501    1.2037  0.8903
 1060      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8496    1.2066  0.8988
 1070      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8499    1.2089  0.9076
 1080      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8500    1.2120  0.9155
 1090      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8503    1.2138  0.9239
 1100      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8499    1.2158  0.9322
 1110      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8503    1.2182  0.9404
 1120      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    1.2206  0.9483
 1130      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8503    1.2226  0.9566
 1140      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8501    1.2247  0.9648
 1150      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8503    1.2268  0.9733
 1160      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8497    1.2290  0.9821
 1170      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8498    1.2316  0.9905
 1180      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8499    1.2329  0.9984
 1190      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8496    1.2352  1.0070
 1200      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8495    1.2371  1.0154
 1210      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8501    1.2390  1.0233
 1220      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8496    1.2404  1.0321
 1230      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8503    1.2427  1.0408
 1240      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8496    1.2439  1.0493
 1250      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8498    1.2462  1.0574
 1260      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8503    1.2471  1.0659
 1270      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8501    1.2486  1.0741
 1280      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    1.2509  1.0821
 1290      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8499    1.2520  1.0907
 1300   3.3105  0.5265       NaN     NaN       NaN     NaN    2.1245  0.8498    1.2538  1.0995
 1310   3.3071  0.5435       NaN     NaN       NaN     NaN    2.1253  0.8498    1.2556  1.1076
 1320   3.3026  0.5600       NaN     NaN       NaN     NaN    2.1252  0.8501    1.2567  1.1158
 1330   3.2978  0.5769       NaN     NaN       NaN     NaN    2.1248  0.8499    1.2592  1.1241
 1340   3.2940  0.5938       NaN     NaN       NaN     NaN    2.1251  0.8501    1.2602  1.1322
 1350   3.2895  0.6103       NaN     NaN       NaN     NaN    2.1253  0.8498    1.2615  1.1410
 1360   3.2848  0.6265       NaN     NaN       NaN     NaN    2.1252  0.8504    1.2631  1.1494
 1370   3.2808  0.6431       NaN     NaN       NaN     NaN    2.1254  0.8496    1.2651  1.1574
 1380   3.2759  0.6602       NaN     NaN       NaN     NaN    2.1248  0.8501    1.2664  1.1658
 1390   3.2716  0.6769       NaN     NaN       NaN     NaN    2.1250  0.8502    1.2677  1.1740
 1400   3.2676  0.6931       NaN     NaN       NaN     NaN    2.1247  0.8499    1.2698  1.1824
 1410   3.2633  0.7092       NaN     NaN       NaN     NaN    2.1250  0.8502    1.2711  1.1904
 1420   3.2581  0.7262       NaN     NaN       NaN     NaN    2.1246  0.8498    1.2724  1.1990
 1430   3.2540  0.7427       NaN     NaN       NaN     NaN    2.1245  0.8499    1.2747  1.2069
 1440   3.2497  0.7584       NaN     NaN       NaN     NaN    2.1253  0.8500    1.2760  1.2153
 1450   3.2452  0.7755       NaN     NaN       NaN     NaN    2.1249  0.8501    1.2773  1.2235
 1460   3.2406  0.7918       NaN     NaN       NaN     NaN    2.1251  0.8502    1.2795  1.2315
 1470   3.2355  0.8077       NaN     NaN       NaN     NaN    2.1253  0.8497    1.2806  1.2402
 1480   3.2311  0.8240       NaN     NaN       NaN     NaN    2.1250  0.8496    1.2820  1.2483
 1490   3.2265  0.8401       NaN     NaN       NaN     NaN    2.1246  0.8499    1.2836  1.2567
 1500   3.2216  0.8564       NaN     NaN       NaN     NaN    2.1247  0.8504    1.2853  1.2648
 1510   3.2169  0.8727       NaN     NaN       NaN     NaN    2.1246  0.8503    1.2871  1.2721
 1520   3.2126  0.8885       NaN     NaN       NaN     NaN    2.1251  0.8503    1.2888  1.2803
 1530   3.2070  0.9041       NaN     NaN       NaN     NaN    2.1251  0.8499    1.2906  1.2881
 1540   3.2023  0.9207       NaN     NaN       NaN     NaN    2.1245  0.8504    1.2928  1.2964
 1550   3.1977  0.9368       NaN     NaN       NaN     NaN    2.1254  0.8502    1.2942  1.3045
 1560   3.1927  0.9527       NaN     NaN       NaN     NaN    2.1251  0.8498    1.2959  1.3123
 1570   3.1882  0.9685       NaN     NaN       NaN     NaN    2.1254  0.8497    1.2985  1.3206
 1580   3.1837  0.9840       NaN     NaN       NaN     NaN    2.1249  0.8496    1.2999  1.3285
 1590   3.1787  0.9995       NaN     NaN       NaN     NaN    2.1246  0.8500    1.3027  1.3355
 1600   3.1738  1.0159       NaN     NaN       NaN     NaN    2.1248  0.8503    1.3045  1.3436
 1610   3.1688  1.0318       NaN     NaN       NaN     NaN    2.1245  0.8496    1.3065  1.3518
 1620   3.1635  1.0472       NaN     NaN       NaN     NaN    2.1254  0.8505    1.3082  1.3594
 1630   3.1584  1.0630       NaN     NaN       NaN     NaN    2.1250  0.8500    1.3103  1.3665
